Memory Length,500,
Trigger Level,1.240E+01,
Source,CH4,
Vertical Units,V,
Vertical Scale,5.000E-02,
Vertical Position,0.000E+00,
Horizontal Units,s,
Horizontal Scale,1.000E-03,
Horizontal Position,5.000E-03,
Horizontal Mode,Main,
Sampling Period,4.000E-05,
Firmware,V1.09,
Time,26-Aug-15 12:06,
Waveform Data,
-40,
-37,
-39,
-41,
-40,
-40,
-41,
-39,
-41,
-40,
-40,
-40,
-40,
-41,
-42,
-40,
-41,
-40,
-38,
-40,
-42,
-39,
-40,
-40,
-42,
-40,
-40,
-42,
-40,
-41,
-40,
-39,
-40,
-40,
-40,
-40,
-42,
-40,
-40,
-39,
-40,
-40,
-41,
-40,
-40,
-39,
-42,
-41,
-40,
-42,
-40,
-41,
-42,
-40,
-41,
-40,
-41,
-40,
-39,
-40,
-40,
-41,
-40,
-40,
-42,
-41,
-40,
-42,
-39,
-42,
-42,
-40,
-42,
-40,
-43,
-40,
-46,
-40,
-39,
-41,
-40,
-40,
-42,
-40,
-40,
-40,
-40,
-42,
-40,
-39,
-42,
-40,
-42,
-42,
-42,
-42,
-42,
-41,
-42,
-41,
-41,
-42,
-42,
-41,
-44,
-43,
-42,
-43,
-42,
-41,
-42,
-42,
-42,
-41,
-42,
-43,
-40,
-44,
-42,
-40,
-40,
-42,
-41,
-40,
-40,
-41,
-52,
-59,
-52,
-68,
-56,
-62,
-66,
-60,
-60,
-60,
-58,
-56,
-56,
-56,
-56,
-54,
-53,
-58,
-55,
-64,
-79,
-74,
-58,
-41,
-44,
-39,
-26,
-24,
-32,
-41,
-50,
-61,
-66,
-74,
-92,
-93,
-81,
-64,
-62,
-57,
-68,
-59,
-46,
-10,
-6,
-11,
-10,
-16,
-39,
-62,
-66,
-86,
-100,
-111,
-102,
-90,
-66,
-47,
-54,
-46,
-26,
-16,
2,
6,
2,
6,
-8,
-44,
-76,
-109,
-112,
-111,
-102,
-82,
-74,
-66,
-46,
-20,
-2,
2,
7,
8,
-2,
-20,
-32,
-48,
-64,
-78,
-77,
-73,
-79,
-76,
-69,
-60,
-48,
-30,
-26,
-20,
-15,
-4,
8,
-4,
-19,
-34,
-43,
-59,
-66,
-80,
-74,
-71,
-69,
-52,
-43,
-32,
-21,
-26,
-27,
-21,
-32,
-44,
-42,
-41,
-33,
-32,
-36,
-40,
-44,
-50,
-59,
-60,
-62,
-52,
-48,
-53,
-42,
-35,
-30,
-28,
-35,
-33,
-35,
-35,
-38,
-44,
-46,
-48,
-48,
-43,
-44,
-46,
-44,
-50,
-48,
-56,
-53,
-52,
-47,
-45,
-47,
-38,
-34,
-34,
-32,
-30,
-37,
-36,
-42,
-47,
-52,
-50,
-51,
-51,
-52,
-56,
-51,
-52,
-56,
-51,
-50,
-40,
-32,
-35,
-25,
-19,
-22,
-24,
-28,
-38,
-46,
-58,
-64,
-72,
-76,
-69,
-68,
-61,
-45,
-38,
-27,
-19,
-18,
-15,
-15,
-29,
-35,
-36,
-49,
-52,
-60,
-67,
-70,
-69,
-66,
-64,
-49,
-44,
-38,
-26,
-21,
-16,
-16,
-16,
-27,
-34,
-41,
-52,
-64,
-72,
-86,
-99,
-70,
-47,
-19,
-20,
-15,
-5,
9,
-12,
-39,
-54,
-50,
-58,
-77,
-86,
-77,
-61,
-50,
-58,
-46,
-65,
-50,
6,
27,
14,
-6,
-8,
-20,
-66,
-91,
-66,
-81,
-102,
-99,
-74,
-42,
-38,
-32,
-46,
-32,
-17,
0,
5,
4,
-6,
14,
-16,
-74,
-111,
-119,
-95,
-86,
-80,
-61,
-50,
-51,
-34,
8,
9,
-10,
-8,
-4,
-9,
-40,
-44,
-57,
-74,
-68,
-76,
-72,
-75,
-72,
-56,
-48,
-30,
-22,
-27,
-29,
-21,
1,
0,
-18,
-33,
-45,
-50,
-56,
-74,
-90,
-78,
-70,
-66,
-51,
-34,
-24,
-27,
-20,
-22,
-18,
-26,
-38,
-34,
-42,
-41,
-47,
-48,
-59,
-56,
-58,
-66,
-66,
-52,
-52,
-43,
-42,
-26,
-35,
-28,
-24,
-16,
-18,
-33,
-34,
-37,
-51,
-65,
-63,
-67,
-56,
-56,
-58,
-55,
-51,
-36,
-28,
-24,
-43,
-44,
-23,
-24,
-24,
-31,
-32,
-38,
-47,
-56,
