"TIME","VZ"
"s","null"
0.0285000,0.001274
0.0287500,0.008887
0.0290000,0.004335
0.0292500,-0.003334
0.0295000,0.014468
0.0297500,-0.002688
0.0300000,0.005971
0.0302500,0.010390
0.0305000,-0.001756
0.0307500,0.008809
0.0310000,-0.000473
0.0312500,0.008045
0.0315000,0.004639
0.0317500,-0.004168
0.0320000,0.012614
0.0322500,-0.002385
0.0325000,0.000567
0.0327500,0.010719
0.0330000,-0.004591
0.0332500,0.005561
0.0335000,0.004992
0.0337500,-0.000964
0.0340000,0.004984
0.0342500,0.002261
0.0345000,0.003310
0.0347500,0.000704
0.0350000,0.004923
0.0352500,0.002361
0.0355000,-0.000452
0.0357500,0.007138
0.0360000,-0.000934
0.0362500,0.002832
0.0365000,0.004365
0.0367500,-0.000629
0.0370000,0.004879
0.0372500,0.000377
0.0375000,0.003220
0.0377500,0.003144
0.0380000,-0.000598
0.0382500,0.005874
0.0385000,0.000049
0.0387500,0.001179
0.0390000,0.005289
0.0392500,-0.001080
0.0395000,0.003280
0.0397500,0.002876
0.0400000,0.000712
0.0402500,0.002900
0.0405000,0.001514
0.0407500,0.002988
0.0410000,0.000742
0.0412500,0.002685
0.0415000,0.002683
0.0417500,0.000127
0.0420000,0.003899
0.0422500,0.000937
0.0425000,0.001777
0.0427500,0.002798
0.0430000,0.000722
0.0432500,0.003215
0.0435000,0.000760
0.0437500,0.002173
0.0440000,0.002885
0.0442500,-0.000016
0.0445000,0.003518
0.0447500,0.001621
0.0450000,0.000758
0.0452500,0.003510
0.0455000,0.000918
0.0457500,0.001874
0.0460000,0.002280
0.0462500,0.001497
0.0465000,0.001977
0.0467500,0.001409
0.0470000,0.002521
0.0472500,0.001080
0.0475000,0.001807
0.0477500,0.002411
0.0480000,0.000668
0.0482500,0.002514
0.0485000,0.001478
0.0487500,0.001449
0.0490000,0.002310
0.0492500,0.001003
0.0495000,0.002348
0.0497500,0.001468
0.0500000,0.001388
0.0502500,0.002379
0.0505000,0.000752
0.0507500,0.001971
0.0510000,0.001760
0.0512500,0.000882
0.0515000,0.002104
0.0517500,0.001276
0.0520000,0.001428
0.0522500,0.001619
0.0525000,0.001474
0.0527500,0.001438
0.0530000,0.001158
0.0532500,0.001824
0.0535000,0.000969
0.0537500,0.001295
0.0540000,0.001771
0.0542500,0.000899
0.0545000,0.001560
0.0547500,0.001428
0.0550000,0.001213
0.0552500,0.001396
0.0555000,0.001280
0.0557500,0.001499
0.0560000,0.001179
0.0562500,0.001400
0.0565000,0.001588
0.0567500,0.001133
0.0570000,0.001480
0.0572500,0.001537
0.0575000,0.001171
0.0577500,0.001441
0.0580000,0.001476
0.0582500,0.001323
0.0585000,0.001312
0.0587500,0.001525
0.0590000,0.001396
0.0592500,0.001205
0.0595000,0.001741
0.0597500,0.001367
0.0600000,0.001262
0.0602500,0.001750
0.0605000,0.001249
0.0607500,0.001224
0.0610000,0.001655
0.0612500,0.001302
0.0615000,0.001221
0.0617500,0.001655
0.0620000,0.001238
0.0622500,0.001228
0.0625000,0.001592
0.0627500,0.001232
0.0630000,0.001327
0.0632500,0.001470
0.0635000,0.001390
0.0637500,0.001369
0.0640000,0.001421
0.0642500,0.001514
0.0645000,0.001234
0.0647500,0.001335
0.0650000,0.001478
0.0652500,0.001238
0.0655000,0.001302
0.0657500,0.001417
0.0660000,0.001346
0.0662500,0.001282
0.0665000,0.001512
0.0667500,0.001379
0.0670000,0.001190
0.0672500,0.001544
0.0675000,0.001249
0.0677500,0.001165
0.0680000,0.001491
0.0682500,0.001154
0.0685000,0.001264
0.0687500,0.001443
0.0690000,0.001171
0.0692500,0.001289
0.0695000,0.001339
0.0697500,0.001207
0.0700000,0.001255
0.0702500,0.001287
0.0705000,0.001217
0.0707500,0.001163
0.0710000,0.001278
0.0712500,0.001177
0.0715000,0.001074
0.0717500,0.001243
0.0720000,0.001049
0.0722500,0.001068
0.0725000,0.001131
0.0727500,0.000994
0.0730000,0.001125
0.0732500,0.001030
0.0735000,0.001139
0.0737500,0.001089
0.0740000,0.000975
0.0742500,0.001167
0.0745000,0.000998
0.0747500,0.001021
0.0750000,0.001089
0.0752500,0.000992
0.0755000,0.001024
0.0757500,0.001059
0.0760000,0.001043
0.0762500,0.001005
0.0765000,0.001104
0.0767500,0.001061
0.0770000,0.001017
0.0772500,0.001154
0.0775000,0.001076
0.0777500,0.001104
0.0780000,0.001194
0.0782500,0.001057
0.0785000,0.001106
0.0787500,0.001142
0.0790000,0.000971
0.0792500,0.001099
0.0795000,0.001150
0.0797500,0.001026
0.0800000,0.001213
0.0802500,0.001112
0.0805000,0.001082
0.0807500,0.001230
0.0810000,0.001093
0.0812500,0.001190
0.0815000,0.001156
0.0817500,0.001089
0.0820000,0.001179
0.0822500,0.001057
0.0825000,0.001133
0.0827500,0.001087
0.0830000,0.001021
0.0832500,0.001141
0.0835000,0.001036
0.0837500,0.001097
0.0840000,0.001082
0.0842500,0.001097
0.0845000,0.001182
0.0847500,0.001072
0.0850000,0.001192
0.0852500,0.001093
0.0855000,0.001057
0.0857500,0.001188
0.0860000,0.001003
0.0862500,0.001053
0.0865000,0.001129
0.0867500,0.001000
0.0870000,0.001112
0.0872500,0.001055
0.0875000,0.000939
0.0877500,0.001099
0.0880000,0.000986
0.0882500,0.001034
0.0885000,0.001129
0.0887500,0.000977
0.0890000,0.001106
0.0892500,0.001032
0.0895000,0.000962
0.0897500,0.001026
0.0900000,0.000899
0.0902500,0.001022
0.0905000,0.000914
0.0907500,0.000878
0.0910000,0.001061
0.0912500,0.000813
0.0915000,0.000918
0.0917500,0.000973
0.0920000,0.000853
0.0922500,0.000965
0.0925000,0.000864
0.0927500,0.000887
0.0930000,0.000849
0.0932500,0.000851
0.0935000,0.000859
0.0937500,0.000760
0.0940000,0.000876
0.0942500,0.000794
0.0945000,0.000838
0.0947500,0.000887
0.0950000,0.000781
0.0952500,0.000893
0.0955000,0.000859
0.0957500,0.000840
0.0960000,0.000939
0.0962500,0.000862
0.0965000,0.000832
0.0967500,0.000982
0.0970000,0.000914
0.0972500,0.000853
0.0975000,0.000956
0.0977500,0.000902
0.0980000,0.000942
0.0982500,0.000922
0.0985000,0.000895
0.0987500,0.000922
0.0990000,0.000954
0.0992500,0.000967
0.0995000,0.000870
0.0997500,0.001091
0.1000000,0.000920
0.1002500,0.000857
0.1005000,0.001133
0.1007500,0.000819
0.1010000,0.000965
0.1012500,0.001022
0.1015000,0.000872
0.1017500,0.001021
0.1020000,0.000870
0.1022500,0.000988
0.1025000,0.000952
0.1027500,0.000904
0.1030000,0.001064
0.1032500,0.000895
0.1035000,0.000984
0.1037500,0.001030
0.1040000,0.000889
0.1042500,0.000977
0.1045000,0.000971
0.1047500,0.000891
0.1050000,0.000960
0.1052500,0.000960
0.1055000,0.000908
0.1057500,0.000929
0.1060000,0.000931
0.1062500,0.000922
0.1065000,0.000912
0.1067500,0.000979
0.1070000,0.000925
0.1072500,0.000882
0.1075000,0.000914
0.1077500,0.000866
0.1080000,0.000866
0.1082500,0.000828
0.1085000,0.000889
0.1087500,0.000882
0.1090000,0.000853
0.1092500,0.000906
0.1095000,0.000828
0.1097500,0.000840
0.1100000,0.000874
0.1102500,0.000819
0.1105000,0.000843
0.1107500,0.000883
0.1110000,0.000805
0.1112500,0.000807
0.1115000,0.000815
0.1117500,0.000765
0.1120000,0.000729
0.1122500,0.000752
0.1125000,0.000788
0.1127500,0.000634
0.1130000,0.000731
0.1132500,0.000781
0.1135000,0.000662
0.1137500,0.000767
0.1140000,0.000678
0.1142500,0.000727
0.1145000,0.000775
0.1147500,0.000661
0.1150000,0.000769
0.1152500,0.000662
0.1155000,0.000672
0.1157500,0.000754
0.1160000,0.000659
0.1162500,0.000739
0.1165000,0.000727
0.1167500,0.000758
0.1170000,0.000741
0.1172500,0.000777
0.1175000,0.000817
0.1177500,0.000752
0.1180000,0.000872
0.1182500,0.000813
0.1185000,0.000775
0.1187500,0.000762
0.1190000,0.000796
0.1192500,0.000798
0.1195000,0.000756
0.1197500,0.000868
0.1200000,0.000773
0.1202500,0.000782
0.1205000,0.000813
0.1207500,0.000805
0.1210000,0.000853
0.1212500,0.000822
0.1215000,0.000849
0.1217500,0.000817
0.1220000,0.000824
0.1222500,0.000842
0.1225000,0.000800
0.1227500,0.000805
0.1230000,0.000834
0.1232500,0.000826
0.1235000,0.000798
0.1237500,0.000845
0.1240000,0.000824
0.1242500,0.000809
0.1245000,0.000868
0.1247500,0.000802
